roll,cp,sp,ep,gp,pp,gems,gem_value,art,art_value,magic,magic_table
1-6,6d6x100,3d6x100,-,2d6x10,-,-,,-,-,-,-
7-16,6d6x100,3d6x100,-,2d6x10,-,2d6,10,-,-,-,-
17-26,6d6x100,3d6x100,-,2d6x10,-,-,-,2d4,25,-,-
27-36,6d6x100,3d6x100,-,2d6x10,-,2d6,50,-,-,-,-
37-44,6d6x100,3d6x100,-,2d6x10,-,2d6,10,-,-,1d6,A
45-52,6d6x100,3d6x100,-,2d6x10,-,-,-,2d4,25,1d6,A
53-60,6d6x100,3d6x100,-,2d6x10,-,2d6,50,-,-,1d6,A
61-65,6d6x100,3d6x100,-,2d6x10,-,2d6,10,-,-,1d4,B
66-70,6d6x100,3d6x100,-,2d6x10,-,-,-,2d4,25,1d4,B
71-75,6d6x100,3d6x100,-,2d6x10,-,2d6,50,-,-,1d4,B
76-78,6d6x100,3d6x100,-,2d6x10,-,2d6,10,-,-,1d4,C
79-80,6d6x100,3d6x100,-,2d6x10,-,-,-,2d4,25,1d4,C
81-85,6d6x100,3d6x100,-,2d6x10,-,2d6,50,-,-,1d4,C
86-92,6d6x100,3d6x100,-,2d6x10,-,-,-,2d4,25,1d4,F
93-97,6d6x100,3d6x100,-,2d6x10,-,2d6,50,-,-,1d4,F
98-99,6d6x100,3d6x100,-,2d6x10,-,-,-,2d4,25,1,G
100,6d6x100,3d6x100,-,2d6x10,-,2d6,50,-,-,1,G
